label_index,raw_label,population,cell_count,percent_of_labeled_cells,percent_of_all_cells,found_modes,best_purity,min_unassigned_fraction,min_mean_knn_distance,found,annotation_flag,k_neighbors,run_name,modes_path,checkpoint,method,r_value,seed,n_samples
3,12.0,Mature_CD8+_T_cells,7821,9.567323571507211,4.681999952108426,37,1.0,0.0,0.7130169078773119,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
23,9.0,Mature_CD38lo_B_cells,7796,9.536741409470684,4.667033835396662,54,1.0,0.0,0.9635427288773467,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
8,17.0,Naive_CD4+_T_cells,6987,8.547102645968659,4.1827302986039605,27,1.0,0.040000000000000036,0.5416556184405301,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
11,2.0,CD11bhi_Monocyte_cells,6779,8.292659057824752,4.05821220756208,13,1.0,0.12,0.7534099022778661,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
10,19.0,NK_cells,3864,4.726778964365665,2.313162998970331,18,1.0,0.0,0.6531475266234625,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
4,13.0,Megakaryocyte_cells,3684,4.506587397702668,2.2054069586456264,12,1.0,0.040000000000000036,0.38312117130879847,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
7,16.0,Myelocyte_cells,3025,3.7004416064198073,1.8109001221235124,2,1.0,0.12,0.8072780861119334,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
16,24.0,Pre-B_II_cells,994,1.2159467625723268,0.5950528004597591,3,1.0,0.040000000000000036,1.0136939406867989,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
1,10.0,Mature_CD38mid_B_cells,608,0.7437581807283448,0.3639759584301142,1,1.0,0.19999999999999996,1.6130918312946252,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
22,8.0,Immature_B_cells,502,0.6140898136934688,0.30051962357223244,1,0.9,0.19999999999999996,1.4880551777260669,True,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
